Name	Set	ImageFile	Type	Attribute	Rarity	Cost	Total Cost	Race	Trait	ATK	DEF	Divinity	Text
Don Quijote, the Wandering Knight	TAT	TAT-003	Resonator	Light	Rare	{W} {W} {2}	4	Knight/Human		900	900		[Awakening] {W} (You may pay an additional {W} as you play this card. If you do, this card gains the following ability.) [Enter] Resonators you control cannot be destroyed until end of turn.
Grimm, the Avenger of Fairy Tales	TAT	TAT-004	Resonator	Light	Super	{W} {W}	2	Fairy Tale/Human		500	500		[Enter] Choose target resonator: Remove it from the game if it's darkness. Otherwise, it gains [+200/+200] until end of turn. <br/>[Awakening] {W}: [Enter] If you J/ruler is "Sacred Princess of Guidance" or "Lumia, the Creator of Hope", J/resonators your opponent controls lose all abilities until end of turn.
Guardian of Tower	TAT	TAT-005	Resonator	Light	Common	{W} {1}	2	Ancient/Human		200	600		[Continuous] [Addition: Field] cards you control cannot be targeted by spells or abilities your opponent controls. <br/>[Continuous] If you control a Tower, this card gains [+0/+600].
Jeanne d’Arc, the Awakening Purity	TAT	TAT-006	Resonator	Light	Super	{W} {W} {W}	3	Saint/Human		700	700		[Continuous] Each turn, prevent the first damage that would be dealt to a Fantasy or Human J/resonator you control. <br/>[Awakening] {W}: [Enter] You may put a nonspell Fantasy Card from your hand into your field. (You may pay an additional {W} as you play this card. If you do, this card gains the following ability.)
Jump to the Sky	TAT	TAT-007	Spell: Chant-Standby	Light	Common	{W} {W} {2}	4						[Trigger] When a resonator you control deals damage to your opponent: Recover that resonator. You may put three hope counters on a "Lumiel, the Tower of Hope" you control. (Pay {2} to put this card into your chant-standby area. You may play this from the next turn if it fulfills [Trigger] condition and you control magic stones equal or more than its cost.)
Light of Lumia	TAT	TAT-008	Spell: Chant-Instant	Light	Uncommon	{W} {3}	4						If your J/ruler is "Sacred Princess of Guidance" or "Lumia, the Creator of Hope", you may pay {2} less to play this card. <br/>Choose one - Rest all non-light, non-Fairy Tale resonators; or remove target non-light, non-Fairy Tale resonator from the game.
Longinus, the Holy Lance	TAT	TAT-009	Addition: Resonator	Light	Common	{W} {W}	2		Relic/Treasury Item				[Continuous] Resonator with this gains [+500/+500], cannot be targeted by darkness spells or darkness card's abilities and prevent all damage that would be dealt to it by darkness cards.
Lumiel, the Tower of Hope	TAT	TAT-010	Addition: Field	Light	Rare	{W} {1}	2		Tower				[Continuous] At the beginning of your main phase, put hope counters equal to the number of resonators you control on this card. Then, if there are ten or more hope counters on this card, banish it and destroy all resonators and additions your opponent controls.
March of Saints	TAT	TAT-011	Spell: Chant	Light	Common	{W} {1}	2						Light resonators you control gain [+300/+0] and [First Strike] until end of turn. If you control a Saint, they cannot be blocked until end of turn.
Pure Spirit of Fantasy	TAT	TAT-012	Resonator	Light	Common	{W} {1}	2	Fantasy		500	500		
Realm of Pure Spirits	TAT	TAT-013	Addition: Field	Light	Uncommon	{W} {1}	2						[Continuous] Recovered resonators you control cannot be targeted by spells or abilities your opponent controls.
Sacred Princess of Guidance	TAT	TAT-014,TAT-014J	Ruler	Light	Rare			Princess					[J-Activate] Pay {W}. Play this ability only if you control "Almerius, the Levitating Stone". <br/>[J-Activate] Pay {W} {W}, {1}. <br/>[Activate] {Rest}: You gain 300 life.
Lumia, the Creator of Hope	TAT	TAT-014J,TAT-014	J-Ruler	Light	Rare			Savior/Human		1000	1000		[Continuous] Once per turn, you may play a card from your removed from the game zone. <br/>[Awakening] Pay {0}: If there are no cards in your removed from this game zone, remove top three cards of your main deck from the game face down. You may look at them at any time.
Sacred Scepter of Exorcism	TAT	TAT-015	Addition: Resonator	Light	Uncommon	{W}	1		Weapon				[Continuous] Resonator with this gains "[Activate] {Rest}: Rest target resonator. If it's a Demon, it cannot be recovered as long as this card is in a field."
Seeking Sky Soldier	TAT	TAT-016	Resonator	Light	Common	{W} {1}	2	Soldier/Human		400	400		[Flying] (While attacking, this card cannot be blocked by J/resonators without [Flying].) <br/>[Enter] You may look the top card of your opponent's main deck.
Sleeping Beauty	TAT	TAT-017	Resonator	Light	Rare	{W} {W}	2	Fairy Tale/Human		0	700		[Continuous] You may choose not to recover this card during the recovery phase. <br/>[Activate] Pay {1} {Rest}: Resonators you control gain [+200/+200] as long as this card is rested.
The Queen’s Butler	TAT	TAT-018	Resonator	Light	Common	{W}	1	Butler/Human		200	400		[Continuous] Your J/ruler cannot be targeted by your opponent's spells or abilities.
Beowulf, the Blazing Wolf	TAT	TAT-019	Resonator	Fire	Common	{R} {R}	2	Nightmare/Werewolf		300	500		[Continuous] If this card would deal damage to your opponent or to a resonator, it deals double that much instead.
Big-Bang Revolution	TAT	TAT-020	Spell: Chant-Standby	Fire	Common	{R} {1}	2						[Trigger] When a resonator you control is destroyed: Two target resonators gain [+X/+Y], where X is the destroyed resonator's ATK and Y is the destroyed resonator's DEF.
Card Soldier “Diamond”	TAT	TAT-021	Resonator	Fire	Common	{R} {1}	2	Card Soldier		400	400		[Continuous] When this card is put into a graveyard from your field, it deals 200 damage to target resonator.
Card Soldier “Heart”	TAT	TAT-022	Resonator	Fire	Common	{R} {1}	2	Card Soldier		0	700		[Continuous] If damage would be dealt to a "Queen of Hearts" you control, it's dealt to this card instead.
Dragon King’s Flame	TAT	TAT-023	Spell: Chant-Instant	Fire	Rare	{R} {2}	3						This card deals 600 damage to target player or resonator. If your J/ruler is "Falltgold, the Dragoon" or "Bahamut, the Dragon King", it deals 800 damage instead.
Duel of Truth	TAT	TAT-024	Spell: Chant-Instant	Fire	Common	{R}	1						Target J/resonator you control and target J/resonator your opponent control deal damage equal to their ATK to each other.
Endless War	TAT	TAT-025	Addition: Field	Fire	Uncommon	{R} {R}	2						[Continuous] Resonators must attack if able.
Falltgold, the Dragoon	TAT	TAT-026,TAT-026J	Ruler	Fire	Rare			Knight					[J-Activate] Banish a fire resonator. <br/>[Activate] {Rest}: Search your main deck for a Dragon resonator, reveal it and put it into your hand. Then shuffle your main deck.
Bahamut, the Dragon King	TAT	TAT-026J,TAT-026	J-Ruler	Fire	Rare			Dragon					[Flying] (While attacking, this card cannot be blocked by J/resonator without [Flying].) <br/>[Enter] This card deals damage to target resonator equal to the ATK of resonator banished for its judgement. <br/>[Activate] Banish a fire resonator: This card gains [Imperishable] until end of turn.
Forced Growth	TAT	TAT-027	Addition: Resonator	Fire	Common	{R}	1						[Continuous] Resonator with this gains [+400/-400].
Fthaggua, the Flame Spirit	TAT	TAT-028	Resonator	Fire	Rare	{R} {2}	3	Flame Spirit/Cthulhu		0	200		[First Strike] (While attacking, this card deals its battle damage first to the blocker or attacked object.) <br/>[Continuous] This card gains [+200/+200] for each spell card in your graveyard.
Gliding Dragon Knight	TAT	TAT-029	Resonator	Fire	Common	{R} {R} {1}	3	Knight		400	800		[Flying] (While attacking, this card cannot be blocked by J/resonator without [Flying].) <br/>[Activate] {R}: This card gains [+100/+0] until end of turn.
Kusanagi Sword	TAT	TAT-030	Addition: Resonator	Fire	Common	{R} {R}	2						[Enter] This card deals 600 damage to target resonator. <br/>[Continuous] If resonator with this would deal damage, it deals that much +200 instead.
Little Dread, the Fake Red Moon	TAT	TAT-031	Resonator	Fire	Super	{R} {R} {1}	3	Nightmare		800	800		[Target Attack] (This card can attack recovered <J/resonators>.) <br/>[Awakening] {R}: [Enter] Target resonator gains [+600/-600] until end of turn. <br/>[Awakening] {R}: [Enter] Recover target resonator. You gain control of it until end of turn. It gains [Swiftness] until end of turn.
Rapid Decay	TAT	TAT-032	Spell: Chant	Fire	Uncommon	{R}	1						Destroy target resonator with total cost 2 or less.
Realm of the Dragon King	TAT	TAT-033	Addition: Field	Fire	Rare	{R} {R} {1}	3						[Continuous] Whenever a non-Dragon resonator comes into a field, this card deals 500 damage to it. If you control "Bahamut, the Dragon King", this card deals 800 damage instead.
Redbird of Omen	TAT	TAT-034	Resonator	Fire	Uncommon	{R} {R} {1}	3	Bird		0	700		[Flying] <br/>[Continuous] At the beginning of your main phase, destroy all resonators with total cost equal to the number of omen counters on this card. <br/>[Continuous] At the end of your turn, put an omen counter on this card.
Wicked Witch of the West	TAT	TAT-035	Resonator	Fire	Uncommon	{R} {1}	2	Nightmare/Witch		100	200		[Activate] {Rest}: This card deals 200 damage to target resonator. <br/>[Continuous] When this card becomes targeted by water spells or water card's abilities, destroy it.
Yamata-no-Orochi, the Eight Disasters	TAT	TAT-036	Resonator	Fire	Super	{R} {R} {R} {R} {R} {5}	10	Nightmare/Dragon		200	2000		[Swiftness] <br/>[Target Attack] <br/>[Continuous] Attacking doesn't cause this card to rest. <br/>[Continuous] Each of your turns, this card can attack up to eight times. <br/>[Continuous] When this card is put into a graveyard from your field, you may search your main deck for a card named "Kusanagi Sword" and add it to a resonator. Then shuffle your main deck.
Alice in Wonderland	TAT	TAT-037,TAT-037J	Ruler	Water	Rare			Little Girl					[J-Activate] Pay any number of will. You cannot choose to pay {0}.
Alice, the Drifter in the World	TAT	TAT-037J,TAT-037	J-Ruler	Water	Rare			Wanderer/Little Girl		700	700		[Enter] If you paid {W} for doing judgement, you gain 1000 life. If you paid {U}, draw a card. If you paid {B}, target opponent discard a card. If you paid {R}, this card deals 1000 damage to up to one target resonator. If you paid {G}, destroy up to one target addition. If you paid will of each attribute and will produced from "Moojdart, the Fantasy Stone", this card gains [Flying] and [Swiftness] until end of turn.
Alice’s World	TAT	TAT-038	Addition: Field	Water	Rare	{U} {U} {6}	8						For each resonator you control that doesn't share any race with other resonators you control, you may pay {1} less to play this card. (For example, if you control a Nightmare resonator and a Fairy Tale resonator, you may pay {2} less.) <br/>[Enter] Take an extra turn after this one.
Cheshire Cat, the Grinning Remnant	TAT	TAT-039	Resonator	Water	Super	{U}	1	Fairy Tale		0	200		[Enter] Draw two cards, then put a card from your hand on top of your main deck. <br/>[Continuous] This card cannot be targeted by spells or abilities. <br/>[Continuous] When this card it put into a graveyard from a field, shuffle it into its owner's main deck.
Crossroad of Worlds	TAT	TAT-040	Spell: Chant-Instant	Water	Uncommon	{U} {U} {1}	3						Target resonator loses all abilities and gains all abilities of another target resonator until end of turn. First resonator's ATK and DEF become the same of second resonator.
Destructive Flow	TAT	TAT-041	Spell: Chant-Standby	Water	Common	{U} {U}	2						[Trigger] At the end of a turn you're dealt damage: Return all rested resonators your opponent controls to their owner's hand. (Pay {2} to put this card into your chant-standby area. You may play this from the next turn if it fulfills [Trigger] condition and you control magic stones equal or more than its cost.)
Dreams of Wonderland	TAT	TAT-042	Spell: Chant-Instant	Water	Rare	{U}	1						Reveal the top of your main deck. If its total cost is odd, return target resonator to its owner's hand. Otherwise, draw a card.
Humpty Dumpty	TAT	TAT-043	Resonator	Water	Super	{U} {U} {1}	3	Fairy Tale		800	800		[Activate] {U}, banish this card: Reveal the top card of your main deck. If it's a resonator, put it into your field. Otherwise, put in into your graveyard.
Little Mermaid of Tragic Love	TAT	TAT-044	Resonator	Water	Uncommon	{U} {1}	2	Mermaid		500	300		[Continuous] When this card is put into a graveyard from your field, draw a card. <br/>[Continuous] Your opponent must block this card if able.
Mad Hatter	TAT	TAT-045	Resonator	Water	Uncommon	{U}	1	Fairy Tale		300	300		[Awakening] {U}: [Enter] Draw a card. (You may pay an additional {U} as you play this card. If you do, this card gains the following ability.)
Mad Tea-Party	TAT	TAT-046	Addition: Field	Water	Uncommon	{U} {U} {3}	5						[Continuous] Whenever a resonator you control becomes targeted by spells or other abilities, choose the new target at random. (Choose at random among all the legal targets including the original one.)
March Hare	TAT	TAT-047	Resonator	Water	Rare	{U}	1	Fairy Tale		500	300		[Continuous] Whenever this card attacks, reveal the top card of your main deck. If its total cost is even, the next damage this card would deal this turn is dealt to you instead.
Riina, the Girl with Nothing	TAT	TAT-048	Resonator	Water	Common	{U} {1}	2	Human		400	400		[Activate] Pay {0}: Target resonator you control loses all abilities until end of turn.
Seashore Fisherman	TAT	TAT-049	Resonator	Water	Common	{U} {2}	3	Human/Fisherman		500	600		[Activate] {Rest}: Reveal the top card of your main deck. If it's a resonator, put it back, look the top four cards of your main deck and put them in any order. If it's an addition, put it into your hand. If it's a spell card, rest target resonator.
Shallows Giant Dolphin	TAT	TAT-050	Resonator	Water	Common	{U} {U} {1}	3	Dolphin		300	1000		[Continuous] Whenever this card blocks, rest target resonator.
Sleeping Rat	TAT	TAT-051	Resonator	Water	Common	{U} {1}	2	Fairy Tale/Rat		500	500		
Star Money	TAT	TAT-052	Addition: Resonator	Water	Common	{U}	1						[Continuous] Resonator with this gains [+700/+700] if it has no printed abilities.
Whirlpool of Knowledge	TAT	TAT-053	Spell: Chant	Water	Common	{U} {2}	3						Draw cards equal to the number of different attributes among resonators you control. (Cards without attributes don't count.)
Witch’s Dagger	TAT	TAT-054	Addition: Resonator	Water	Common	{U}	1						[Continuous] Resonator with this gains "[Activate] Pay {U} {U} and {2} {Rest}: Destroy target rested resonator." and "[Activate] {Rest} banish this resonator: Draw three cards."
Brainless Scarecrow	TAT	TAT-055	Resonator	Wind	Common	{G}	1	Fairy Tale		200	200		[Enter] If you control "Heartless Tin Man" or "Cowardly Lion", put an achievement counter on this card. <br/>[Continuous] This card gains [+300/+300] for each achievement counter on it.
Cowardly Lion	TAT	TAT-056	Resonator	Wind	Common	{G}	1	Fairy Tale		200	200		[Continuous] Whenever this card deals damage to your opponent, put an achievement counter on this card. <br/>[Continuous] This card gains [+300/+300] for each achievement counter on it.
Crimson Girl in the Sky	TAT	TAT-057,TAT-057J	Ruler	Wind	Rare			Little Girl					[J-Activate] Pay {0}. Play this ability only if you put "Refarth, the Castle of Heaven" into a field this turn. <br/>[J-Activate] Pay {G} {G} {1}.
Little Red, the True Fairy Tale	TAT	TAT-057J,TAT-057	J-Ruler	Wind	Rare			Fairy Tale/Ancient		800	1000		[Continuous] This card cannot be targeted by darkness or fire spells or darkness or fire card's abilities. <br/>[Continuous] If a spell or ability would increase ATK or DEF of resonators you control, it increases double that much instead. <br/>[Continuous] If a spell or ability would decrease ATK or DEF of resonators you control, it decreases none instead.
Dorothy, the Lost Girl	TAT	TAT-058	Resonator	Wind	Rare	{G} {1}	2	Fairy Tale		400	400		[Continuous] Whenever this card deals damage to your opponent, put the top card of your magic stone deck into your magic stone area. <br/>[Awakening] {G}: [Enter] Reveal top five cards of your main deck. Put any number of cards named "Heartless Tin Man", "Brainless Scarecrow", "Cowardly Lion" and/or "Silver Shoes" among them into your hand. Put the rest on the bottom of your main deck in any order.
Dragonslayer	TAT	TAT-059	Addition: Resonator	Wind	Common	{G} {1}	2						[Enter] Destroy target Dragon. <br/>[Continuous] If damage would be dealt to the resonator with this, prevent 500 of it.
Evolution of Limits	TAT	TAT-060	Spell: Chant-Instant	Wind	Common	{G}	1						Target resonator [+600/+600] until end of turn.
Gardea, the Guardian Dragon of Heaven	TAT	TAT-061	Resonator	Wind	Super	{G} {G} {1}	3	Ancient/Dragon		800	800		[Enter] Search your magic stone deck for a card. Then, shuffle the rest of your magic stone deck and put that card on top of it. <br/>[Activate] {Rest}: Target resonator you control gains [+400/+0] until end of turn.
Glinda, the Fairy	TAT	TAT-062	Resonator	Wind	Super	{G} {G}	2	Fairy Tale		500	500		[Enter] Target resonator cannot be blocked until end of turn. <br/>[Activate] Banish this card: Cancel target normal spell unless its controller pays {2}.
Guide of Heaven	TAT	TAT-063	Resonator	Wind	Uncommon	{G} {1}	2	Ancient/Elf		200	200		[Activate] {Rest}: Reveal the top card of your main deck. If it's an Elf resonator, put it into your hand. <br/>[Awakening] {G}: [Enter] Search your main deck for an Elf resonator, reveal it and put it into your hand. Then shuffle your main deck.
Heartless Tin Man	TAT	TAT-064	Resonator	Wind	Common	{G}	1	Fairy Tale		200	200		[Continuous] When an addition is added to a resonator you control or an [Addition: Field] is put into your field, put an achievement counter on this card. <br/>[Continuous] This card gains [+300/+300] for each achievement counter on it.
Oz, the Great Wizard	TAT	TAT-065	Resonator	Wind	Uncommon	{G} {G} {2}	4	Fairy Tale		600	600		[Enter] Search your main deck for a spell card with total cost 1, reveal it and put it into your hand. If its name is "Oz's Magic", you may play it without paying its cost instead of putting it into your hand. Then shuffle your main deck.
